OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
Zotu1	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	100	100
Zotu2	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1			Mitochondria	100	100
Zotu3	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1				0	0
Zotu4	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Gossypium_arboreum_2			Chloroplast	96.203	99
Zotu5	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1	Pseudomonas viridiflava 	Bacteria_Proteobacteria	100	100
Zotu6	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu7	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Erwiniaceae_1	Pantoea_1	Pantoea sp.  	Bacteria_Proteobacteria	100	100
Zotu8	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu9	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Gossypium_arboreum_2			Chloroplast	97.5	100
Zotu10	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu11	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu12	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Massilia_1		Bacteria_Proteobacteria	100	100
Zotu13	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Erwiniaceae_1	Pantoea sp. IMH 		Bacteria_Proteobacteria	100	100
Zotu14	Bacteria_1	Firmicutes_1	Bacilli_1	Lactobacillales_1	Streptococcaceae_1	Streptococcus_1		Bacteria_Firmicutes	100	100
Zotu15	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu16	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Gossypium_arboreum_2			Chloroplast	96.667	100
Zotu17	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu18	Bacteria_1	Firmicutes_1	Bacilli_1	Paenibacillales_1	Paenibacillaceae_1	Paenibacillus_1		Bacteria_Firmicutes	100	100
Zotu19	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu20	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	99.156	99
Zotu21	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Corynebacteriales_1	Nocardiaceae_1	Rhodococcus_1	Rhodococcus fascians 	Bacteria_Actinobacteriota	100	100
Zotu22	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu23	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1	Uncultured organism 	Bacteria_Bacteroidota	100	100
Zotu24	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu25	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Gossypium_arboreum_2			Chloroplast	97.083	100
Zotu26	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	97.917	100
Zotu27	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Erwiniaceae_1	Pantoea_1	Pantoea ananatis 	Bacteria_Proteobacteria	100	100
Zotu28	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Burkholderiaceae_1	Burkholderia-caballeronia-paraburkholderia_1	Burkholderia pseudomallei 	Bacteria_Proteobacteria	100	100
Zotu29	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1	Sphingomonas faeni 	Bacteria_Proteobacteria	100	100
Zotu30	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Variovorax_1		Bacteria_Proteobacteria	100	100
Zotu31	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptomycetales_1	Streptomycetaceae_1	Streptomyces_1		Bacteria_Actinobacteriota	100	100
Zotu32	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	98.734	99
Zotu33	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Flavobacteriales_1	Flavobacteriaceae_1	Flavobacterium_1		Bacteria_Bacteroidota	100	100
Zotu34	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Micrococcaceae_1	Rothia_1	Rothia dentocariosa 	Bacteria_Actinobacteriota	100	100
Zotu35	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu36	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	95.417	100
Zotu37	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1			Mitochondria	98.333	100
Zotu38	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1		Bacteria_Proteobacteria	100	100
Zotu39	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	95.397	99
Zotu40	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	79.464	91
Zotu41	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu42	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Humulus_lupulus_var._cordifolius_1			Chloroplast	92.531	100
Zotu43	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Curtobacterium_1		Bacteria_Actinobacteriota	100	100
Zotu44	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Frigoribacterium_1	Uncultured bacterium 	Bacteria_Actinobacteriota	100	100
Zotu45	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Actinomycetales_1	Actinomycetaceae_1	Actinomyces_1	uncultured bacterium 	Bacteria_Actinobacteriota	100	100
Zotu46	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	94.191	100
Zotu47	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Cytophagaceae_1	Cytophaga_1	Cytophaga hutchinsonii atcc  	Bacteria_Bacteroidota	99.583	100
Zotu48	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	99.583	100
Zotu49	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Citrus_maxima_1			Chloroplast	96.68	100
Zotu50	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Burkholderiaceae_1	Ralstonia_1		Bacteria_Proteobacteria	100	100
Zotu51	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Corynebacteriales_1	Corynebacteriaceae_1	Corynebacterium_1		Bacteria_Actinobacteriota	100	100
Zotu52	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	96.25	100
Zotu53	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1	Enterobacter_1		Bacteria_Proteobacteria	100	100
Zotu54	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Mucilaginibacter_1	Mucilaginibacter rigui 	Bacteria_Bacteroidota	100	100
Zotu55	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1		Bacteria_Proteobacteria	100	100
Zotu56	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Xanthomonadaceae_1	Pseudoxanthomonas_1	Pseudoxanthomonas wuyuanensis 	Bacteria_Proteobacteria	100	100
Zotu57	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Herbaspirillum_1	Herbaspirillum hiltneri 	Bacteria_Proteobacteria	100	100
Zotu58	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Bradyrhizobium_1	Bradyrhizobium elkanii 	Bacteria_Proteobacteria	100	100
Zotu59	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1	Raoultella_1	Raoultella planticola 	Bacteria_Proteobacteria	100	100
Zotu60	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1		Bacteria_Proteobacteria	100	100
Zotu61	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	100	100
Zotu62	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1		Bacteria_Proteobacteria	100	100
Zotu63	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1		Bacteria_Proteobacteria	100	100
Zotu64	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Tardiphaga_1		Bacteria_Proteobacteria	100	100
Zotu65	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1	uncultured bacterium 	Bacteria_Proteobacteria	100	100
Zotu66	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Massilia_1		Bacteria_Proteobacteria	100	100
Zotu67	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Herbaspirillum_1		Bacteria_Proteobacteria	100	100
Zotu68	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Humulus_lupulus_var._cordifolius_1			Chloroplast	93.361	100
Zotu69	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Steroidobacterales_1	Steroidobacteraceae_1	Steroidobacter_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu70	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1		Bacteria_Proteobacteria	100	100
Zotu71	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Duganella_1		Bacteria_Proteobacteria	100	100
Zotu72	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Mucilaginibacter_1	uncultured bacterium 	Bacteria_Bacteroidota	100	100
Zotu73	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	95.021	100
Zotu74	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	99.167	100
Zotu75	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1	Rhizobium metallidurans 	Bacteria_Proteobacteria	100	100
Zotu76	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1		Bacteria_Bacteroidota	98.75	100
Zotu77	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Anoxybacillus_1		Bacteria_Firmicutes	100	100
Zotu78	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	92.5	100
Zotu79	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	98.75	100
Zotu80	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Caulobacterales_1	Caulobacteraceae_1	Asticcacaulis_1	Uncultured asticcacaulis sp. 	Bacteria_Proteobacteria	100	100
Zotu81	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Mucilaginibacter_1	Mucilaginibacter sp. bjc-a 	Bacteria_Bacteroidota	100	100
Zotu82	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1	uncultured bacterium 	Bacteria_Proteobacteria	100	100
Zotu83	Bacteria_1	Firmicutes_1	Bacilli_1	Paenibacillales_1	Paenibacillaceae_1	Paenibacillus_1	uncultured bacterium 	Bacteria_Firmicutes	100	100
Zotu84	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Devosiaceae_1	Devosia_1	Devosia neptuniae 	Bacteria_Proteobacteria	100	100
Zotu85	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1				0	0
Zotu86	Bacteria_1	Acidobacteriota_1	Blastocatellia_1	Blastocatellales_1	Blastocatellaceae_1	Uncultured_167		Bacteria_Acidobacteriota	100	100
Zotu87	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Polaromonas_1		Bacteria_Proteobacteria	100	100
Zotu88	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Duganella_1	uncultured bacterium 	Bacteria_Proteobacteria	100	100
Zotu89	Bacteria_1	Firmicutes_1	Bacilli_1	Paenibacillales_1	Paenibacillaceae_1	Saccharibacillus_1		Bacteria_Firmicutes	100	100
Zotu90	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1		Bacteria_Proteobacteria	100	100
Zotu91	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Acidovorax_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu92	Bacteria_1	Myxococcota_1	Polyangia_1	Haliangiales_1	Haliangiaceae_1	Haliangium_1	Uncultured proteobacterium 	Bacteria_Myxococcota	100	100
Zotu93	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Humulus_lupulus_var._cordifolius_1			Chloroplast	97.642	88
Zotu94	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1		Bacteria_Proteobacteria	100	100
Zotu95	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1	Pseudomonas psychrotolerans 	Bacteria_Proteobacteria	100	100
Zotu96	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Rhizobacter_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu97	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Rhodanobacteraceae_1	Luteibacter_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu98	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Gossypium_arboreum_2			Chloroplast	96.624	99
Zotu99	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	99.167	100
Zotu100	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Novosphingobium_1		Bacteria_Proteobacteria	100	100
Zotu101	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Curtobacterium_1	uncultured bacterium 	Bacteria_Actinobacteriota	100	100
Zotu102	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Humulus_lupulus_var._cordifolius_1			Chloroplast	95.755	88
Zotu103	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	88.559	98
Zotu104	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1			Bacteria_Proteobacteria	100	100
Zotu105	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Duganella_1		Bacteria_Proteobacteria	100	100
Zotu106	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	97.917	100
Zotu107	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Hymenobacteraceae_1	Hymenobacter_1		Bacteria_Bacteroidota	100	100
Zotu108	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Micropepsales_1	Micropepsaceae_1	Uncultured_98		Bacteria_Proteobacteria	100	100
Zotu109	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1		Bacteria_Proteobacteria	99.583	100
Zotu110	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Halomonadaceae_1	Halomonas_1		Bacteria_Proteobacteria	100	100
Zotu111	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Nocardioides_1		Bacteria_Actinobacteriota	100	100
Zotu112	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Mesorhizobium_1	Mesorhizobium amorphae 	Bacteria_Proteobacteria	100	100
Zotu113	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Humulus_lupulus_var._cordifolius_1			Chloroplast	98.113	88
Zotu114	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Rhodanobacteraceae_1	Luteibacter_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu115	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Burkholderiaceae_1	Burkholderia-caballeronia-paraburkholderia_1		Bacteria_Proteobacteria	100	100
Zotu116	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1		Bacteria_Bacteroidota	100	100
Zotu117	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1				Chloroplast	93.776	100
Zotu118	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Massilia_1		Bacteria_Proteobacteria	100	100
Zotu119	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Alcaligenaceae_1	Achromobacter_1		Bacteria_Proteobacteria	100	100
Zotu120	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Devosiaceae_1	Devosia_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu121	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Xylophilus_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu122	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Caulobacterales_1	Caulobacteraceae_1	Caulobacter_1	Caulobacter henricii 	Bacteria_Proteobacteria	100	100
Zotu123	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1		Bacteria_Proteobacteria	97.934	100
Zotu124	Bacteria_1								0	0
Zotu125	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Devosiaceae_1	Devosia_1	metagenome 	Bacteria_Proteobacteria	100	100
Zotu126	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Mucilaginibacter_1		Bacteria_Bacteroidota	100	100
Zotu127	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1	Gossypium_arboreum_2			Chloroplast	97.917	100
Zotu128	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1	Sphingomonas sp. kc 	Bacteria_Proteobacteria	100	100
Zotu129	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Mucilaginibacter_1		Bacteria_Bacteroidota	100	100
Zotu130	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Spirosomaceae_1	Dyadobacter_1		Bacteria_Bacteroidota	100	100
Zotu131	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Massilia_1		Bacteria_Proteobacteria	100	100
Zotu132	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Uncultured_73		Bacteria_Proteobacteria	100	100
Zotu133	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1	uncultured bacterium 	Bacteria_Proteobacteria	100	100
Zotu134	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1	Pedobacter cryoconitis 	Bacteria_Bacteroidota	100	100
Zotu135	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Variovorax_1	uncultured bacterium 	Bacteria_Proteobacteria	100	100
