#OTU ID	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample10	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample11	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample12	Sample130	Sample131	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample2	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample3	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample4	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample5	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample6	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample7	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample8	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample9
Zotu2213	3403	315	1149	2700	1989	2656	2961	4197	27	1095	4809	1064	1270	1022	2323	588	1885	102	1158	1113	1790	4820	1130	1405	1307	2123	18	1591	140	3404	85	2208	4829	2695	507	5670	4574	5483	3899	683	7065	3853	829	5784	5123	2874	3547	6565	6525	6280	4922	5263	5946	4419	6348	4287	3785	5097	3482	4837	4321	4619	4522	5734	5597	7991	3239	5754	7296	6099	4533	962	5987	4060	4889	4098	5266	2745	5806	4723	2691	1127	2898	4399	3360	5551	1	4503	5827	3375	5515	4923	5484	4261	3890	4403	5816	3059	4004	1566	1406	2997	3221	2915	4678	4712	4122	5559	3333	3300	4981	2891	2929	6270	5368	1538	4550	2939	4100	3832	1976	1847	53	3291	2913	4131	3091	3228	1597	3352	3509
Zotu2	11288	153	6094	13731	11078	17759	21910	13336	46	7382	21603	6534	11664	5359	12286	1245	10376	417	7771	7625	10725	18286	5260	11891	3959	12229	17	11551	298	15483	452	11103	19927	12296	519	20354	21302	19404	13492	3393	31013	18337	218	25727	23684	18941	21850	36867	20590	26693	22559	24453	28927	15017	28798	16058	16976	23887	22124	16752	17258	20919	19231	25328	24869	30713	23737	29360	29818	27095	21849	3465	23002	13555	25027	16624	22548	8692	24381	24850	14249	2120	15143	17722	14045	20158	5	20455	24839	16540	21726	19733	19768	22575	12917	17857	24729	15083	15129	6946	6179	14538	15585	16341	22422	18501	20370	22613	15802	12334	23633	17263	12680	16644	25035	9655	18149	12295	16404	17177	9902	8696	31	12503	12752	14715	18587	13388	9389	10774	15678
Zotu1	9544	713	2745	6866	4986	6250	6150	9537	65	2481	12250	2816	2823	2687	5314	1154	4021	258	2923	3036	3825	11616	3023	3860	3111	6283	17	4053	259	7138	220	5191	11650	6140	1341	12693	10267	12285	9564	1456	15203	8998	2104	12693	11116	5873	10531	13151	15198	12784	13176	10906	13981	10704	13564	9798	9430	12261	8892	11995	10065	9914	10391	13241	13387	19711	7990	12642	16144	14401	10412	2324	13305	8615	9611	10743	10183	6539	13519	10664	6189	2652	6107	8515	7614	12143	39	11458	12892	7655	12498	10140	11189	9804	8650	10129	13417	8036	8779	3443	3254	7681	7081	6660	10801	10516	10800	11001	7047	7735	13050	6835	6200	14250	13503	3593	10175	6973	8595	7857	4016	5002	288	7222	7220	8293	6488	7812	5045	7921	8638
Zotu2165	3394	134	1048	2556	1893	2419	1832	2927	19	993	4497	1120	829	988	1929	327	1312	63	1038	987	1414	4203	1069	1461	959	2382	22	1627	70	3260	68	1919	4450	2419	377	4747	3997	4630	3589	515	5663	3832	310	4789	3879	2116	4087	4972	5308	4623	4671	4010	4764	3580	5130	3564	3560	4486	3940	4182	3827	3653	4080	4587	4804	6480	2951	4594	6055	5147	3892	637	5043	3147	3553	3940	3688	2019	5019	4009	2178	542	1942	3051	2526	4669	1	4334	4564	3078	4445	3272	4054	3483	2822	3561	4589	3409	3353	1167	979	3122	2549	2159	3938	3968	4394	3920	2137	2783	4478	2181	2047	5338	4866	1232	3735	2569	3052	2474	1077	1829	37	2613	2579	2895	2656	2621	2417	2784	3038
Zotu2250	83	161	30	86	50	95	117	67	0	26	89	47	21	19	56	35	32	5	20	45	53	67	26	34	40	42	0	85	3	71	7	31	69	41	56	107	132	85	62	16	171	111	479	117	132	202	75	231	86	93	69	113	91	63	114	73	70	98	70	116	56	56	62	96	96	189	120	115	196	108	182	464	129	103	129	71	93	445	102	141	216	426	229	199	216	130	0	82	120	64	97	140	100	115	378	149	122	67	155	84	34	57	162	136	83	77	128	103	89	49	82	84	165	101	118	129	149	54	211	76	194	98	37	281	74	72	182	135	61	90	59
Zotu3	765	3715	0	0	0	0	44	2711	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	14	3	0	0	0	3	0	0	0	0	0	2	0	16	7	13	0	33	166	12	31	7	43	179	17	15	0	96	17	9	193	125	107	6	24	30	41	3	138	102	845	373	23	100	1106	113	557	436	4	122	453	324	502	1111	1515	1609	6808	218	642	0	470	249	492	721	899	278	1008	188	231	353	0	253	1400	1359	620	1418	2628	2559	124	847	1269	7	5827	82	4866	3795	794	302	6288	438	5350	1630	3	7561	2793	8433	1744	692	4198	5437	6912	2670	5431	0
Zotu38	95	968	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	6	0	0	1	0	0	0	0	0	0	6	22	0	2	0	0	0	4	16	29	91	4	517	18	38	33	0	795	6	3	117	206	1	2	268	22	39	0	17	3	31	93	101	110	53	864	90	56	0
Zotu2325	114	1936	125	336	147	243	343	110	25	66	164	208	55	46	113	252	146	46	84	195	186	135	86	87	128	187	44	498	42	76	26	104	101	83	183	192	435	278	191	42	859	407	4850	251	428	1148	203	630	186	197	191	270	255	116	272	192	136	268	166	249	152	197	216	245	154	359	477	375	690	281	814	3793	278	348	412	103	300	3002	315	605	702	3969	1248	573	1071	399	0	124	467	218	397	478	404	438	1622	394	287	192	527	486	259	197	666	619	260	238	542	351	303	98	242	548	640	276	246	619	433	288	849	325	1186	402	803	1531	227	146	713	334	195	288	82
Zotu29	211	694	3	5	4	0	1	122	3	0	0	0	2	3	37	0	2	0	3	0	0	0	2	58	2	5	186	0	4	0	2	9	0	10	0	0	0	0	0	0	4	0	0	0	0	4	0	5	0	0	2	5	0	0	0	0	0	0	2	2	0	0	9	7	0	14	0	0	1	0	3	0	0	0	4	0	0	82	16	25	33	38	87	67	9	30	4	21	12	3	0	19	50	67	34	21	19	0	15	48	28	21	76	24	462	44	181	183	0	822	96	3	354	745	37	7	397	29	33	0	49	24	40	85	334	134	159	877	152	128	0
Zotu28	1574	1016	0	0	3	29	155	0	8	1068	0	12	18	7	1	4	3	0	1289	14	11	0	3	3	0	5	9	304	118	0	314	0	0	2	0	0	1	0	0	0	13	0	20	0	7	0	0	0	38	0	0	6	0	0	0	24	0	4	6	0	0	2	6	0	0	0	1	2	0	0	4	0	3	8	91	0	0	19	0	35	19	0	15	52	0	0	0	5	16	33	13	8	13	49	5	5	0	0	9	0	0	51	0	4	1	0	0	0	0	439	0	5	0	5	0	0	5	0	3	3	2	0	0	0	1	0	0	574	51	28	0
