Sample	Week	Rep	Tissue	CQ
Sample1	1	1	Cone	n/a
Sample2	1	2	Cone	30.64242412
Sample3	1	3	Cone	36.64584265
Sample4	1	4	Cone	n/a
Sample5	1	5	Cone	n/a
Sample6	1	6	Cone	n/a
Sample7	1	7	Cone	39.37635086
Sample8	1	8	Cone	22.76340306
Sample9	1	9	Cone	n/a
Sample10	1	10	Cone	25.86818905
Sample11	2	1	Cone	n/a
Sample12	2	2	Cone	n/a
Sample13	2	3	Cone	n/a
Sample14	2	4	Cone	n/a
Sample15	2	5	Cone	n/a
Sample16	2	6	Cone	n/a
Sample17	2	7	Cone	36.45506531
Sample18	2	8	Cone	n/a
Sample19	2	9	Cone	n/a
Sample20	2	10	Cone	n/a
Sample21	3	1	Cone	36.38306683
Sample22	3	2	Cone	33.81276067
Sample23	3	3	Cone	35.41037648
Sample24	3	4	Cone	38.03022853
Sample25	3	5	Cone	n/a
Sample26	3	6	Cone	n/a
Sample27	3	7	Cone	38.68475422
Sample28	3	8	Cone	36.8324362
Sample29	3	9	Cone	20.87100429
Sample30	3	10	Cone	22.8681934
Sample31	4	1	Cone	n/a
Sample32	4	2	Cone	n/a
Sample33	4	3	Cone	n/a
Sample34	4	4	Cone	35.5846945
Sample35	4	5	Cone	38.5791359
Sample36	4	6	Cone	n/a
Sample37	4	7	Cone	n/a
Sample38	4	8	Cone	n/a
Sample39	4	9	Cone	n/a
Sample40	4	10	Cone	33.93108182
Sample41	5	1	Cone	33.96658673
Sample42	5	2	Cone	36.03606217
Sample43	5	3	Cone	n/a
Sample44	5	4	Cone	n/a
Sample45	5	5	Cone	28.41038042
Sample46	5	6	Cone	37.25508762
Sample47	5	7	Cone	35.07953845
Sample48	5	8	Cone	26.6741376
Sample49	5	9	Cone	29.44537621
Sample50	5	10	Cone	36.2844
Sample51	6	1	Cone	22.85308678
Sample52	6	2	Cone	35.903163
Sample53	6	3	Cone	34.35129057
Sample54	6	4	Cone	24.8021036
Sample55	6	5	Cone	20.83893478
Sample56	6	6	Cone	21.81169191
Sample57	6	7	Cone	31.38246451
Sample58	6	8	Cone	37.94685002
Sample59	6	9	Cone	35.90566948
Sample60	6	10	Cone	30.82221259
Sample61	7	1	Cone	31.48700729
Sample62	7	2	Cone	30.87985194
Sample63	7	3	Cone	26.14005883
Sample64	7	4	Cone	n/a
Sample65	7	5	Cone	28.97563611
Sample66	7	6	Cone	28.61934568
Sample67	7	7	Cone	36.48929462
Sample68	7	8	Cone	36.66080557
Sample69	7	9	Cone	35.4774662
Sample70	7	10	Cone	26.65226681
Sample71	8	1	Cone	21.72972117
Sample72	8	2	Cone	21.82039382
Sample73	8	3	Cone	33.68271318
Sample74	8	4	Cone	23.63926684
Sample75	8	5	Cone	25.22599958
Sample76	8	6	Cone	32.31645287
Sample77	8	7	Cone	35.13868108
Sample78	8	8	Cone	36.88482327
Sample79	8	9	Cone	31.79519033
Sample80	8	10	Cone	34.66410331
Sample81	8	11	Cone	34.66410331
Sample82	9	1	Cone	23.41060507
Sample83	9	2	Cone	22.35106802
Sample84	9	3	Cone	33.02550319
Sample85	9	4	Cone	25.77985368
Sample86	9	5	Cone	20.58911054
Sample87	9	6	Cone	32.29685433
Sample88	9	7	Cone	23.87476247
Sample89	9	8	Cone	23.55351158
Sample90	9	9	Cone	22.98968966
Sample91	9	10	Cone	22.51016565
Sample92	10	1	Cone	21.12629349
Sample93	10	2	Cone	25.50657005
Sample94	10	3	Cone	25.92596367
Sample95	10	4	Cone	23.69725783
Sample96	10	5	Cone	28.08439905
Sample97	10	6	Cone	25.8454075
Sample98	10	7	Cone	23.34700457
Sample99	10	8	Cone	24.23213135
Sample100	10	9	Cone	29.84623248
Sample101	10	10	Cone	32.29349558
Sample102	55	1	Rhizome	30.75924398
Sample103	55	1	Rhizome	37.62401292
Sample104	55	2	Rhizome	29.42371592
Sample105	55	2	Rhizome	35.9434877
Sample106	55	3	Rhizome	38.212001
Sample107	55	3	Rhizome	n/a
Sample108	55	4	Rhizome	30.33836461
Sample109	55	4	Rhizome	38.63611663
Sample110	55	5	Rhizome	n/a
Sample111	55	5	Rhizome	37.1931933
Sample112	55	6	Rhizome	38.057424
Sample113	55	6	Rhizome	37.10226544
Sample114	55	7	Rhizome	37.68798974
Sample115	55	7	Rhizome	n/a
Sample116	55	8	Rhizome	24.85856909
Sample117	55	8	Rhizome	35.99763914
Sample118	55	9	Rhizome	31.09700132
Sample119	55	9	Rhizome	36.26879573
Sample120	55	10	Rhizome	38.80062855
Sample121	55	10	Rhizome	32.65320345
Sample122	55	11	Rhizome	29.1034452
Sample123	55	11	Rhizome	n/a
Sample124	55	12	Rhizome	34.18759062
Sample125	55	12	Rhizome	37.32466205
Sample126	55	13	Rhizome	n/a
Sample127	55	13	Rhizome	38.58434328
Sample128	55	14	Rhizome	30.84123169
Sample129	55	14	Rhizome	38.8900708
Sample130	55	15	Rhizome	30.02514355
Sample131	55	15	Rhizome	n/a
