OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_280	Alveolata	Ciliophora							0	0
OTU_780	Alveolata	Ciliophora							0	0
OTU_954	Alveolata	Ciliophora							0	0
OTU_190	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_265	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_382	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_541	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_579	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_620	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_690	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_709	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_820	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_826	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_882	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_907	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_979	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_1029	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_1088	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_1113	Amoebozoa	Ochrophyta	Bacillariophyceae	Naviculales	Paramoebidae	Paramoeba			0	0
OTU_600	Ciliophora								0	0
OTU_785	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces		Fungi	99.558	100
OTU_872	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia corticola 	Fungi	100	83
OTU_232	Fungi	Ascomycota	Dothideomycetes	Capnodiales				Fungi	97.183	95
OTU_615	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Arthrocatena			Fungi	98.295	78
OTU_881	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neoantennariellaceae	Cippumomyces	Cippumomyces mortalis 	Fungi	96.244	95
OTU_38	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium halotolerans 	Fungi	100	83
OTU_128	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium		Fungi	88.987	100
OTU_199	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium aciculare 	Fungi	94.248	100
OTU_503	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium		Fungi	96.903	100
OTU_797	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium	Rachicladosporium cboliae 	Fungi	100	100
OTU_990	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Toxicocladosporium		Fungi	98.182	98
OTU_11	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans 	Fungi	98.222	100
OTU_225	Fungi	Ascomycota	Dothideomycetes	Dothideales				Fungi	85.477	100
OTU_373	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothiora		Fungi	97.99	88
OTU_621	Fungi	Ascomycota	Dothideomycetes	Dothideales				Fungi	94.222	100
OTU_760	Fungi	Ascomycota	Dothideomycetes	Dothideales	Cryptocline			Fungi	96	100
OTU_1033	Fungi	Ascomycota	Dothideomycetes	Dothideales				Fungi	96.575	65
OTU_1150	Fungi	Ascomycota	Dothideomycetes	Dothideales	Scleroconidioma			Fungi	89.333	100
OTU_1209	Fungi	Ascomycota	Dothideomycetes	Dothideales		Hormonema	Hormonema macrosporum 	Fungi	95.133	100
OTU_239	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora coniogrammes 	Fungi	100	100
OTU_364	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia		Fungi	98.246	100
OTU_369	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Peltaster	Peltaster fructicola 	Fungi	97.34	82
OTU_540	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Neodevriesiaceae	Neodevriesia		Fungi	89.427	98
OTU_680	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium		Fungi	94.323	100
OTU_754	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Neodevriesiaceae	Neodevriesia		Fungi	89.908	97
OTU_795	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae			Fungi	83.913	100
OTU_814	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae			Fungi	93.333	100
OTU_868	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae			Fungi	96.46	100
OTU_964	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia		Fungi	89.427	100
OTU_1080	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae			Fungi	95.556	100
OTU_1158	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia		Fungi	92.444	100
OTU_1162	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Neodevriesiaceae	Neodevriesia		Fungi	93.689	91
OTU_1170	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae			Fungi	95.266	75
OTU_1212	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Neodevriesiaceae	Neodevriesia		Fungi	96.903	100
OTU_1045	Fungi	Ascomycota	Dothideomycetes	Oncopodiella				Fungi	100	83
OTU_510	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Peltaster	Peltaster gemmifer 	Fungi	96.757	82
OTU_3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria		Fungi	100	100
OTU_14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia celtidis 	Fungi	99.482	86
OTU_24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria		Fungi	99.02	91
OTU_32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	Pseudopithomyces chartarum 	Fungi	100	74
OTU_36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta desmazieri 	Fungi	94.273	100
OTU_43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium		Fungi	98.667	100
OTU_46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Chaetasbolisia	Chaetasbolisia longiseta 	Fungi	98.122	95
OTU_68	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia inaequalis 	Fungi	99.099	99
OTU_76	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae			Fungi	97.345	100
OTU_81	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Leptospora		Fungi	95.111	100
OTU_84	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma		Fungi	97.297	98
OTU_90	Fungi	Ascomycota	Dothideomycetes	Pleosporales				Fungi	100	80
