OTU_ID	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample10	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample11	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample2	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample3	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample4	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample5	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample6	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample7	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample8	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample9
OTU_23	6721	3165	0	36	3	0	2	75	443	244	101	8	0	9	0	5	0	0	4	210	40	159	27	2	13	0	13	23	0	0	4	36	0	0	0	3	32	1	843	0	6	0	0	0	0	15	1	0	0	154	18	1	12	0	0	0	2	0	0	0	0	0	0	337	204	3364	60	88	77	44	199	4	33	53	3	158	632	237	103	33	659	123	552	390	28	652	621	106	550	656	685	549	233	2073	1293	0	498	1878	184	488	327	102	123	25	329	1220	0	691	1487	117	606	257	186	1594	365	1172	721	0	236	1984	8000	593	907	1447	219	1771	5725	5456	0
OTU_2	19268	29679	37000	1484	24044	2551	84	28	1593	7757	824	9168	7335	2709	2	17556	125	18427	157	435	20213	14523	11608	5101	1479	899	43	198	58	31380	21328	20	0	0	0	8	22	339	1247	74	84	91	30	774	207	189	73	0	65	41	5	0	17	33	89	4	223	5	0	0	2	13	29	2816	1644	97	2275	127	17187	5	137	33736	4347	1434	22	41821	299	200	24359	46254	44783	1143	212	106	1147	3421	7345	7568	30866	4410	13067	50972	202	104	778	128	43236	29173	33670	1526	79034	38060	486	161	42	864	104	2197	1662	34745	52558	1840	6940	32992	3045	29110	37692	16	33291	58082	35561	41346	20380	25345	5966	31515	38518	30290	0
OTU_4	2721	1205	1	13	5	37	3	0	341	540	198	3	70	4	0	0	11	0	0	151	13	1193	0	0	4	40	0	17	2	0	22	21	253	0	0	7	100	376	1699	1036	39	529	346	7977	607	1321	234	1277	6289	1101	201	25	2288	636	110	1536	1015	3632	1440	1395	24	1808	153	1783	5122	5869	6188	576	3578	815	2699	2463	1692	586	171	126	2288	2455	2315	3980	1218	4139	1877	365	488	1333	1097	548	2288	17927	1732	2745	3321	4958	1584	12	3638	2131	2980	1340	1422	1325	4653	261	4280	4447	415	15137	882	1136	5466	2902	449	4276	2900	5176	4024	72	5886	2474	8474	5322	2149	4658	1834	2791	2828	3920	83
OTU_3	22232	34656	131	50	58	126	26	97	16241	2824	1532	1	146	356	0	1	7	9	20	2041	39	4464	23	8	138	56	38	81	21	3	41	90	0	11	31	8	351	2562	3396	1438	417	496	1140	38803	15436	7637	2594	6282	23128	8893	3483	282	23201	8848	532	23218	22230	18514	10646	14736	2730	20134	1135	19533	12222	27722	21072	8929	13686	2868	16572	12224	6711	6682	633	3184	50565	32821	18625	7821	9444	41149	21807	32573	5005	25428	12297	21049	16980	41244	10702	32844	6859	12807	12393	89	10722	14256	18140	41530	19925	8277	53074	2684	44476	23693	610	42202	8604	21065	18070	22105	9479	17574	22008	21557	10871	383	24427	9496	21573	25741	12431	16841	22125	15972	9848	10638	556
OTU_725	63	28	0	20	0	0	0	26	23	0	0	0	0	0	0	0	0	0	0	0	10	16	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	49	0	10	0	0	6	0	0	0	1	0	0	8	54	41	0	0	0	454	0	181	0	82	37	0	0	3	15	0	58	0	0	38	584	1	31	26	6	100	79	10	0	46	74	10	6	66	93	52	79	168	136	0	53	9	78	0	0	1	77	6	262	565	0	161	1	13	48	17	24	111	32	22	113	0	46	597	24	8	19	57	7	40	67	86	0
OTU_19	1630	445	0	0	2	40	0	0	118	66	2	0	1	0	0	0	0	0	0	160	0	113	0	0	2	0	0	0	0	0	1	0	93	0	0	5	22	33	145	21	5	224	99	306	758	238	1	300	17	92	83	0	109	1947	17	5673	321	3805	273	370	0	1080	42	533	798	3514	1604	95	977	232	3186	121	2371	25	67	161	2166	512	156	71	67	595	2571	1658	12	1467	1168	246	140	922	1031	566	1527	1000	359	0	438	131	252	1220	632	99	438	33	2057	3751	0	324	870	261	398	507	418	476	843	749	323	4	220	1679	108	118	253	183	138	307	324	444	0
OTU_31	307	164	12	0	2	37	26	1027	23	157	15	0	192	0	0	8	20	0	5	9	61	63	47	0	5	0	60	0	18	37	1	19	133	0	0	0	0	156	130	271	0	0	12	64	50	0	0	0	123	0	0	0	0	0	0	238	176	1188	105	0	0	0	0	63	0	6	248	0	118	20	84	2	156	12	0	213	1499	593	189	28	611	396	392	1007	7	373	2919	194	62	238	151	304	224	945	320	0	182	28	212	36	86	42	122	0	123	350	0	152	110	17	366	204	97	345	252	98	501	0	278	266	102	98	45	395	46	433	2745	3119	0
OTU_37	396	403	0	31	6	21	3	188	21	81	2	0	0	0	0	0	0	0	6	1	24	103	2	0	0	0	42	0	0	10	0	0	0	0	20	0	56	0	0	0	0	0	3	0	0	67	0	0	6	0	0	0	0	0	0	789	44	0	0	53	0	195	0	139	35	26	18	52	15	12	31	0	22	9	0	7	417	8	105	24	694	45	324	108	7	120	298	322	19	79	193	299	116	1831	1478	0	181	44	398	87	28	31	13	0	434	629	0	237	39	88	228	196	84	673	355	2004	102	0	38	197	265	247	105	783	59	382	2609	3055	0
OTU_17	170	46	0	8	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	18	0	67	0	0	0	0	0	0	0	0	0	0	61	0	0	0	11	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	34	6	130	0	0	0	0	0	0	0	106	7	0	20	1	0	0	3	29	0	5	89	135	43	84	5	3	59	108	14	73	48	13	62	38	68	122	0	57	31	0	37	48	120	99	27	7	770	25	134	256	0	201	235	18	337	1642	18	27	2700	183	30	0	205	33	4	461	856	7	106	59	13	26	31
OTU_9	832	166	17	0	3	0	0	10	86	56	9	0	0	0	0	0	0	0	0	111	19	200	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	1	0	0	0	78	45	20	0	52	86	0	31	0	22	0	21	154	96	14	0	0	0	35	0	247	338	390	155	0	1071	271	1103	23	371	18	12	20	1282	356	20	49	180	69	333	72	9	116	299	163	474	379	216	214	157	604	119	0	174	390	269	762	156	69	190	56	522	2013	54	277	957	370	898	1528	114	70	2211	505	2578	0	264	2042	664	115	2191	1538	38	769	278	441	0
