Sample	Tissue	Week	Rep	CQ
Sample1	Cone	1	1	n/a
Sample2	Cone	1	2	30.64242412
Sample3	Cone	1	3	36.64584265
Sample4	Cone	1	4	n/a
Sample5	Cone	1	5	n/a
Sample6	Cone	1	6	n/a
Sample7	Cone	1	7	39.37635086
Sample8	Cone	1	8	22.76340306
Sample9	Cone	1	9	n/a
Sample10	Cone	1	10	25.86818905
Sample11	Cone	2	1	n/a
Sample12	Cone	2	2	n/a
Sample13	Cone	2	3	n/a
Sample14	Cone	2	4	n/a
Sample15	Cone	2	5	n/a
Sample16	Cone	2	6	n/a
Sample17	Cone	2	7	36.45506531
Sample18	Cone	2	8	n/a
Sample19	Cone	2	9	n/a
Sample20	Cone	2	10	n/a
Sample21	Cone	3	1	36.38306683
Sample22	Cone	3	2	33.81276067
Sample23	Cone	3	3	35.41037648
Sample24	Cone	3	4	38.03022853
Sample25	Cone	3	5	n/a
Sample26	Cone	3	6	n/a
Sample27	Cone	3	7	38.68475422
Sample28	Cone	3	8	36.8324362
Sample29	Cone	3	9	20.87100429
Sample30	Cone	3	10	22.8681934
Sample31	Cone	4	1	n/a
Sample32	Cone	4	2	n/a
Sample33	Cone	4	3	n/a
Sample34	Cone	4	4	35.5846945
Sample35	Cone	4	5	38.5791359
Sample36	Cone	4	6	n/a
Sample37	Cone	4	7	n/a
Sample38	Cone	4	8	n/a
Sample39	Cone	4	9	n/a
Sample40	Cone	4	10	33.93108182
Sample41	Cone	5	1	33.96658673
Sample42	Cone	5	2	36.03606217
Sample43	Cone	5	3	n/a
Sample44	Cone	5	4	n/a
Sample45	Cone	5	5	28.41038042
Sample46	Cone	5	6	37.25508762
Sample47	Cone	5	7	35.07953845
Sample48	Cone	5	8	26.6741376
Sample49	Cone	5	9	29.44537621
Sample50	Cone	5	10	36.2844
Sample51	Cone	6	1	22.85308678
Sample52	Cone	6	2	35.903163
Sample53	Cone	6	3	34.35129057
Sample54	Cone	6	4	24.8021036
Sample55	Cone	6	5	20.83893478
Sample56	Cone	6	6	21.81169191
Sample57	Cone	6	7	31.38246451
Sample58	Cone	6	8	37.94685002
Sample59	Cone	6	9	35.90566948
Sample60	Cone	6	10	30.82221259
Sample61	Cone	7	1	31.48700729
Sample62	Cone	7	2	30.87985194
Sample63	Cone	7	3	26.14005883
Sample64	Cone	7	4	n/a
Sample65	Cone	7	5	28.97563611
Sample66	Cone	7	6	28.61934568
Sample67	Cone	7	7	36.48929462
Sample68	Cone	7	8	36.66080557
Sample69	Cone	7	9	35.4774662
Sample70	Cone	7	10	26.65226681
Sample71	Cone	8	1	21.72972117
Sample72	Cone	8	2	21.82039382
Sample73	Cone	8	3	33.68271318
Sample74	Cone	8	4	23.63926684
Sample75	Cone	8	5	25.22599958
Sample76	Cone	8	6	32.31645287
Sample77	Cone	8	7	35.13868108
Sample78	Cone	8	8	36.88482327
Sample79	Cone	8	9	31.79519033
Sample80	Cone	8	10	34.66410331
Sample81	Cone	8	11	34.66410331
Sample82	Cone	9	1	23.41060507
Sample83	Cone	9	2	22.35106802
Sample84	Cone	9	3	33.02550319
Sample85	Cone	9	4	25.77985368
Sample86	Cone	9	5	20.58911054
Sample87	Cone	9	6	32.29685433
Sample88	Cone	9	7	23.87476247
Sample89	Cone	9	8	23.55351158
Sample90	Cone	9	9	22.98968966
Sample91	Cone	9	10	22.51016565
Sample92	Cone	10	1	21.12629349
Sample93	Cone	10	2	25.50657005
Sample94	Cone	10	3	25.92596367
Sample95	Cone	10	4	23.69725783
Sample96	Cone	10	5	28.08439905
Sample97	Cone	10	6	25.8454075
Sample98	Cone	10	7	23.34700457
Sample99	Cone	10	8	24.23213135
Sample100	Cone	10	9	29.84623248
Sample101	Cone	10	10	32.29349558
Sample102	Rhizome	55	1	30.75924398
Sample103	Rhizome	55	1	37.62401292
Sample104	Rhizome	55	2	29.42371592
Sample105	Rhizome	55	2	35.9434877
Sample106	Rhizome	55	3	38.212001
Sample107	Rhizome	55	3	n/a
Sample108	Rhizome	55	4	30.33836461
Sample109	Rhizome	55	4	38.63611663
Sample110	Rhizome	55	5	n/a
Sample111	Rhizome	55	5	37.1931933
Sample112	Rhizome	55	6	38.057424
Sample113	Rhizome	55	6	37.10226544
Sample114	Rhizome	55	8	24.85856909
Sample115	Rhizome	55	8	35.99763914
Sample116	Rhizome	55	9	31.09700132
Sample117	Rhizome	55	9	36.26879573
Sample118	Rhizome	55	10	38.80062855
Sample119	Rhizome	55	10	32.65320345
Sample120	Rhizome	55	11	29.1034452
Sample121	Rhizome	55	11	n/a
Sample122	Rhizome	55	12	34.18759062
Sample123	Rhizome	55	12	37.32466205
Sample124	Rhizome	55	13	n/a
Sample125	Rhizome	55	13	38.58434328
Sample126	Rhizome	55	14	30.84123169
Sample127	Rhizome	55	14	38.8900708
Sample128	Rhizome	55	15	30.02514355
Sample129	Rhizome	55	15	n/a
